AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-11-2022_21-00-43,
Profile Duration:,24 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
82,21:0:51:955,   28.37,    1.20,    1.15,    1.29,    1.41,    8.03,    1.42
83,21:0:52:055,   27.45,    1.11,    1.08,    1.19,    1.30,    5.40,    1.36
84,21:0:52:155,   28.22,    1.11,    0.53,    1.19,    1.27,    5.96,    1.38
85,21:0:52:255,   32.61,    1.23,    1.24,    1.37,    1.44,   10.24,    1.52
86,21:0:52:355,   38.69,    4.85,    1.56,    2.17,    3.73,   10.78,    3.04
87,21:0:52:455,   33.48,    2.46,    1.98,    1.74,    1.53,   10.27,    1.78
88,21:0:52:555,   33.01,    1.25,    0.88,    1.40,    1.54,   10.53,    1.74
89,21:0:52:655,   28.57,    1.18,    1.17,    1.05,    1.33,    7.10,    1.62
90,21:0:52:755,   29.00,    1.12,    1.12,    1.20,    1.25,    6.17,    1.54
91,21:0:52:855,   32.57,    1.23,    1.23,    1.35,    1.36,   12.22,    1.71
92,21:0:52:955,   33.20,    1.30,    1.29,    0.86,    1.43,   12.08,    1.80
93,21:0:53:055,   35.12,    1.25,    1.25,    1.41,    1.37,   15.29,    1.69
94,21:0:53:155,   34.18,    1.29,    1.25,    1.36,    1.36,   12.99,    1.75
95,21:0:53:255,   34.02,    1.34,    1.30,    1.71,    1.44,   11.32,    1.61
96,21:0:53:355,   29.99,    1.27,    1.24,    1.63,    1.36,    9.36,    1.51
97,21:0:53:455,   30.39,    1.24,    1.03,    1.58,    1.30,    9.29,    1.53
98,21:0:53:555,   30.27,    1.27,    1.21,    1.59,    1.31,    9.22,    1.68
99,21:0:53:655,   30.15,    1.28,    1.28,    1.62,    1.41,    9.24,    1.49
100,21:0:53:755,   31.77,    1.30,    1.28,    1.70,    1.46,   10.58,    1.53
101,21:0:53:855,   30.55,    1.33,    1.30,    1.70,    1.47,   10.12,    1.54
102,21:0:53:955,   29.70,    1.28,    1.27,    1.66,    1.44,    9.75,    1.50
103,21:0:54:055,   30.87,    1.46,    1.25,    1.44,    1.40,   10.00,    1.52
104,21:0:54:155,   32.46,    1.59,    1.35,    1.50,    1.54,   11.49,    1.61
105,21:0:54:255,   30.86,    1.46,    1.47,    1.11,    1.50,   10.00,    1.59
106,21:0:54:355,   31.28,    1.29,    1.65,    1.38,    1.49,   10.93,    1.58
107,21:0:54:455,   30.48,    1.35,    1.55,    1.33,    1.35,   10.21,    1.82
108,21:0:54:555,   32.69,    1.35,    1.68,    1.37,    1.34,   11.74,    1.86
109,21:0:54:655,   31.43,    1.32,    1.72,    1.28,    1.35,   11.34,    1.45
110,21:0:54:755,   31.18,    1.32,    1.40,    1.31,    1.52,   11.63,    1.62
111,21:0:54:855,   32.20,    1.38,    1.48,    1.36,    1.51,   11.75,    1.85
112,21:0:54:955,   30.77,    0.81,    1.47,    1.28,    1.45,   11.51,    1.81
113,21:0:55:055,   31.88,    0.21,    1.69,    1.38,    1.49,   12.37,    1.67
114,21:0:55:155,   34.64,    4.62,    1.75,    1.32,    1.64,   11.55,    1.50
115,21:0:55:255,   40.52,   12.19,    1.60,    1.36,    1.34,   11.32,    1.54
116,21:0:55:355,   41.55,   12.52,    1.67,    1.48,    1.41,   12.15,    1.62
117,21:0:55:455,   40.57,   12.29,    1.67,    1.43,    1.38,   12.03,    1.54
118,21:0:55:555,   37.67,    8.59,    1.71,    1.48,    1.38,   11.64,    1.64
119,21:0:55:655,   31.88,    1.35,    1.72,    1.37,    1.47,   11.72,    1.57
120,21:0:55:755,   33.07,    1.30,    1.69,    1.35,    1.47,   12.85,    1.55
121,21:0:55:855,   31.61,    1.31,    1.69,    1.36,    1.47,   11.54,    1.61
122,21:0:55:955,   31.10,    1.32,    1.72,    1.41,    1.53,   10.91,    1.70
123,21:0:56:055,   32.06,    1.33,    2.14,    1.39,    1.52,   11.77,    1.72
124,21:0:56:155,   32.64,    1.65,    1.81,    1.39,    1.50,   12.44,    1.49
125,21:0:56:255,   31.35,    1.47,    1.52,    1.38,    1.45,   11.30,    1.69
126,21:0:56:355,   32.15,    1.47,    1.43,    1.34,    1.37,   11.80,    1.68
127,21:0:56:455,   32.97,    1.57,    1.50,    1.43,    1.49,   12.04,    1.71
128,21:0:56:555,   31.55,    1.62,    1.46,    1.34,    1.64,   11.27,    1.59
129,21:0:56:655,   31.53,    1.61,    1.46,    1.01,    1.44,   11.66,    1.57
130,21:0:56:755,   31.33,    1.64,    1.50,    1.36,    1.47,   11.32,    1.59
131,21:0:56:855,   31.19,    1.61,    1.47,    1.35,    1.45,   10.79,    1.56
132,21:0:56:955,   31.51,    1.61,    1.48,    1.34,    1.47,   10.68,    1.56
133,21:0:57:055,   31.72,    1.60,    1.21,    1.39,    1.48,   12.02,    1.59
134,21:0:57:155,   31.02,    1.48,    1.12,    1.51,    1.52,   11.21,    1.63
135,21:0:57:255,   31.46,    1.49,    1.06,    1.52,    1.48,   11.48,    1.61
136,21:0:57:355,   31.61,    1.56,    0.62,    1.49,    1.49,   11.81,    1.67
137,21:0:57:455,   32.98,    1.88,    1.48,    1.39,    1.50,   12.24,    1.38
138,21:0:57:555,   31.55,    1.88,    1.51,    1.43,    1.64,   11.48,    1.36
139,21:0:57:655,   31.43,    1.66,    1.48,    1.61,    1.49,   11.48,    1.48
140,21:0:57:755,   31.01,    1.60,    1.51,    1.51,    1.44,   10.37,    1.41
141,21:0:57:855,   31.07,    1.67,    1.34,    1.54,    1.46,   10.76,    1.50
142,21:0:57:955,   31.75,    1.79,    1.34,    1.65,    1.52,   10.81,    1.56
143,21:0:58:055,   30.84,    1.77,    1.30,    1.56,    1.49,   10.87,    1.49
144,21:0:58:155,   31.42,    1.74,    1.29,    1.55,    1.44,   12.19,    1.49
145,21:0:58:255,   31.50,    1.78,    1.31,    1.58,    1.50,   11.23,    1.51
146,21:0:58:355,   33.23,    1.77,    1.30,    1.54,    1.49,   11.59,    1.44
147,21:0:58:455,   32.19,    1.64,    1.37,    1.52,    1.49,   11.91,    1.43
148,21:0:58:555,   31.80,    1.49,    1.61,    1.56,    1.50,   11.08,    1.66
149,21:0:58:655,   31.48,    1.48,    1.54,    1.52,    1.51,   11.53,    1.49
150,21:0:58:755,   31.07,    1.50,    1.58,    1.53,    1.42,   11.96,    0.94
151,21:0:58:855,   30.86,    1.49,    1.58,    1.58,    1.44,   11.26,    0.38
152,21:0:58:955,   31.15,    1.50,    1.62,    1.54,    1.46,   11.35,    0.88
153,21:0:59:055,   31.23,    1.58,    1.53,    1.55,    1.43,   10.97,    1.54
154,21:0:59:155,   31.05,    1.72,    1.32,    1.52,    1.39,   11.26,    1.46
155,21:0:59:255,   30.96,    1.70,    1.34,    1.51,    1.44,   11.11,    1.22
156,21:0:59:355,   32.62,    1.77,    1.38,    1.60,    1.43,   12.07,    1.46
157,21:0:59:455,   31.62,    1.71,    1.31,    1.51,    1.37,   11.09,    1.26
158,21:0:59:555,   31.77,    1.67,    1.47,    1.57,    1.52,   11.39,    1.62
159,21:0:59:655,   30.67,    1.68,    1.30,    1.50,    1.36,   10.93,    1.10
160,21:0:59:755,   31.78,    1.74,    1.37,    1.37,    1.60,   11.00,    1.35
161,21:0:59:855,   30.55,    1.70,    1.33,    1.51,    1.38,   10.33,    1.18
162,21:0:59:955,   30.78,    1.72,    1.33,    1.55,    1.38,   10.78,    1.14
163,21:1:0:055,   30.48,    1.75,    1.33,    1.50,    1.42,   10.34,    1.08
164,21:1:0:155,   33.02,    5.74,    1.38,    1.51,    1.32,   10.36,    0.87
165,21:1:0:255,   39.04,   11.83,    1.28,    1.54,    1.33,   10.27,    1.36
166,21:1:0:355,   40.36,   12.60,    1.40,    1.83,    1.37,   10.37,    1.43
167,21:1:0:455,   34.25,    3.87,    1.50,    1.81,    1.51,   11.30,    1.50
168,21:1:0:555,   32.15,    1.56,    1.51,    1.58,    1.46,   11.56,    1.63
169,21:1:0:655,   31.20,    1.56,    1.49,    1.53,    1.44,   11.12,    1.48
170,21:1:0:755,   30.49,    1.52,    1.41,    1.50,    1.37,   10.78,    1.44
171,21:1:0:855,   31.61,    1.56,    1.48,    1.53,    1.42,   10.84,    1.46
172,21:1:0:955,   30.88,    1.54,    1.48,    1.51,    1.42,   10.78,    1.45
173,21:1:1:055,   31.86,    1.58,    1.49,    1.56,    1.44,   11.03,    1.47
174,21:1:1:155,   31.34,    1.56,    1.56,    1.55,    1.46,   11.28,    1.14
175,21:1:1:255,   29.99,    1.38,    1.50,    1.73,    1.44,   10.41,    0.66
176,21:1:1:355,   31.42,    1.34,    1.54,    1.76,    1.49,   11.50,    0.24
177,21:1:1:455,   31.23,    1.35,    1.59,    1.79,    1.73,   10.76,    0.37
178,21:1:1:555,   30.75,    1.36,    1.54,    1.85,    1.54,   10.66,    0.55
179,21:1:1:655,   29.90,    1.33,    1.50,    1.75,    1.45,   10.80,    0.37
180,21:1:1:755,   29.68,    1.30,    1.48,    1.73,    1.45,   10.68,    0.22
181,21:1:1:855,   30.69,    1.35,    1.55,    1.72,    1.45,   10.66,    0.35
182,21:1:1:955,   30.53,    1.55,    1.52,    1.52,    1.45,   11.29,    0.56
183,21:1:2:055,   31.64,    1.56,    1.55,    1.53,    1.45,   10.60,    1.46
184,21:1:2:155,   30.99,    1.61,    1.58,    1.61,    1.38,   10.70,    1.63
185,21:1:2:255,   32.40,    1.56,    1.54,    1.50,    1.32,   11.47,    1.51
186,21:1:2:355,   30.85,    1.56,    1.53,    1.51,    1.33,   10.37,    1.58
187,21:1:2:455,   30.64,    1.52,    1.48,    1.30,    1.31,   10.26,    1.58
188,21:1:2:555,   32.09,    1.61,    1.54,    1.53,    1.41,   11.17,    1.78
189,21:1:2:655,   30.99,    1.54,    1.49,    0.49,    1.34,   10.54,    1.66
190,21:1:2:755,   31.50,    1.62,    1.50,    1.28,    1.33,   10.95,    1.57
191,21:1:2:855,   30.66,    1.56,    1.46,    1.46,    1.27,   10.37,    1.51
192,21:1:2:955,   30.72,    1.56,    1.46,    1.07,    1.30,   10.54,    1.53
193,21:1:3:055,   32.20,    1.59,    1.49,    1.49,    1.32,   11.09,    1.55
194,21:1:3:155,   31.33,    1.59,    1.47,    0.97,    1.33,   10.55,    1.53
195,21:1:3:255,   30.75,    1.58,    1.52,    0.94,    1.32,   10.35,    1.55
196,21:1:3:355,   30.44,    1.55,    1.46,    1.49,    1.33,   10.61,    1.61
197,21:1:3:455,   30.70,    1.57,    1.48,    1.50,    1.31,   10.40,    1.58
198,21:1:3:555,   31.01,    1.57,    1.47,    1.45,    1.31,   10.48,    1.62
199,21:1:3:655,   31.89,    1.59,    1.48,    0.97,    1.33,   10.79,    1.59
200,21:1:3:755,   32.53,    1.53,    1.48,    0.99,    1.32,   11.14,    1.56
201,21:1:3:855,   30.09,    1.48,    1.43,    1.42,    1.26,    9.77,    1.48
202,21:1:3:955,   31.47,    1.57,    1.48,    1.51,    1.32,   10.24,    1.62
203,21:1:4:055,   31.00,    1.54,    1.43,    1.46,    1.33,    9.79,    1.51
204,21:1:4:155,   31.09,    1.55,    1.43,    1.13,    1.40,   10.38,    1.43
205,21:1:4:255,   30.90,    1.55,    1.45,    0.89,    1.41,   10.06,    1.40
206,21:1:4:355,   32.87,    1.58,    1.46,    1.49,    1.37,   11.34,    1.44
207,21:1:4:455,   32.45,    1.60,    1.47,    1.54,    1.41,   10.66,    1.49
208,21:1:4:555,   31.27,    1.56,    1.45,    1.47,    1.41,   10.14,    1.55
209,21:1:4:655,   30.94,    1.57,    1.47,    1.37,    1.39,   10.60,    1.30
210,21:1:4:755,   31.71,    1.55,    1.46,    1.46,    1.28,   10.30,    1.53
211,21:1:4:855,   32.64,    1.52,    1.50,    1.47,    1.30,   11.12,    1.51
212,21:1:4:955,   31.16,    1.53,    1.49,    0.96,    1.28,    9.93,    1.53
213,21:1:5:055,   30.94,    1.66,    1.49,    1.38,    1.28,    9.57,    1.43
214,21:1:5:155,   33.87,    1.70,    1.52,    1.46,    5.84,    9.56,    1.36
215,21:1:5:255,   39.27,    1.60,    1.42,    1.39,   11.79,    9.32,    1.40
