AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-04-2022_16-10-59,
Profile Duration:,50 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
94,16:11:9:176,   31.95,   17.35,    0.26,    1.60,    0.26,    0.30,    0.03
95,16:11:9:276,   32.33,   17.21,    0.31,    1.63,    0.32,    0.62,    0.04
96,16:11:9:376,   32.60,   17.40,    0.21,    1.61,    0.32,    0.86,    0.08
97,16:11:9:476,   34.13,   18.95,    0.34,    1.62,    0.26,    0.30,    0.04
98,16:11:9:576,   23.42,    5.34,    0.23,    1.70,    0.22,    0.34,    0.08
99,16:11:9:676,   23.73,    4.63,    0.28,    1.34,    0.31,    0.64,    0.05
100,16:11:9:776,   24.98,    4.65,    0.65,    1.18,    0.22,    0.95,    0.04
101,16:11:9:876,   32.25,    6.10,    1.26,    1.17,    0.37,    3.42,    0.12
102,16:11:9:976,   32.57,    6.10,    0.39,    1.47,    0.73,   12.32,    0.24
103,16:11:10:076,   25.76,    5.05,    0.28,    1.49,    1.40,   12.56,    0.19
104,16:11:10:176,   23.37,    4.71,    0.09,    1.25,    1.14,    3.07,    0.19
105,16:11:10:276,   23.56,    5.45,    0.09,    1.20,    1.07,    0.88,    0.23
106,16:11:10:376,   24.06,    6.02,    0.09,    1.22,    1.08,    0.72,    0.32
107,16:11:10:476,   23.39,    4.58,    0.10,    1.25,    1.17,    0.08,    0.26
108,16:11:10:576,   26.38,    7.60,    0.10,    1.06,    0.28,    0.45,    0.22
109,16:11:10:676,   27.64,    8.95,    0.08,    1.13,    0.25,    1.14,    0.28
110,16:11:10:776,   27.86,    8.73,    0.13,    1.51,    0.26,    1.21,    0.34
111,16:11:10:876,   27.50,    8.59,    0.07,    1.23,    0.22,    1.23,    0.24
112,16:11:10:976,   26.54,    6.87,    0.08,    1.22,    0.30,    1.22,    0.24
113,16:11:11:076,   24.34,    5.19,    0.12,    1.04,    0.26,    1.17,    0.18
114,16:11:11:176,   25.54,    7.66,    0.05,    1.05,    0.09,    1.08,    0.21
115,16:11:11:276,   28.73,   10.97,    0.18,    1.09,    0.24,    1.08,    0.24
116,16:11:11:376,   30.27,   12.18,    0.05,    1.27,    0.22,    1.21,    0.25
117,16:11:11:476,   30.25,   13.50,    0.16,    1.29,    0.28,    1.20,    0.24
118,16:11:11:576,   28.13,    9.38,    0.13,    1.40,    0.37,    1.33,    0.19
119,16:11:11:676,   26.09,    7.86,    0.11,    1.17,    0.24,    1.16,    0.28
120,16:11:11:776,   26.27,    7.66,    0.08,    1.18,    0.33,    1.14,    0.45
121,16:11:11:876,   25.42,    7.56,    0.13,    1.16,    0.23,    1.12,    0.21
122,16:11:11:976,   25.81,    7.72,    0.08,    1.12,    0.24,    1.08,    0.21
123,16:11:12:076,   27.12,    8.54,    0.11,    1.14,    0.22,    1.11,    0.18
124,16:11:12:176,   25.96,    7.99,    0.06,    1.20,    0.30,    1.18,    0.23
125,16:11:12:276,   26.12,    8.20,    0.05,    1.06,    0.21,    1.12,    0.17
126,16:11:12:376,   25.97,    8.30,    0.18,    1.08,    0.17,    1.12,    0.22
127,16:11:12:476,   26.83,    9.00,    0.10,    1.15,    0.26,    1.09,    0.17
128,16:11:12:576,   26.13,    8.42,    0.13,    1.19,    0.19,    1.17,    0.39
129,16:11:12:676,   26.50,    8.96,    0.21,    1.17,    0.24,    1.12,    0.22
130,16:11:12:776,   26.15,    8.27,    1.00,    1.24,    0.31,    1.33,    0.33
131,16:11:12:876,   26.62,    8.88,    1.10,    0.37,    1.01,    0.77,    0.17
132,16:11:12:976,   26.52,    9.25,    1.14,    0.40,    0.87,    0.06,    0.34
133,16:11:13:076,   26.26,    9.46,    1.13,    0.50,    0.60,    0.39,    0.24
134,16:11:13:176,   26.39,    9.53,    0.58,    0.27,    0.15,    0.17,    0.19
135,16:11:13:276,   25.98,    9.34,    0.11,    0.95,    0.48,    0.26,    0.25
136,16:11:13:376,   28.10,   10.20,    0.14,    1.40,    0.71,    0.19,    0.21
